pos,player,opp,status,stats,points,year,week,team,total_score,team_away,team_away_score
QB,J. Allen,vs LAC,W 27-17,,14.48,2020,12,Blitzkoerper85,95.08,Hammichan,123.12
RB,M. Sanders,vs SEA,L 17-23,,5.20,2020,12,Blitzkoerper85,95.08,Hammichan,123.12
RB,J. Jacobs,@ ATL,W 6-43,,2.90,2020,12,Blitzkoerper85,95.08,Hammichan,123.12
WR,M. Jones,vs CLE,L 25-27,,7.80,2020,12,Blitzkoerper85,95.08,Hammichan,123.12
WR,R. Anderson,@ MIN,W 27-28,,17.40,2020,12,Blitzkoerper85,95.08,Hammichan,123.12
TE,H. Henry,vs ARI,W 20-17,,10.20,2020,12,Blitzkoerper85,95.08,Hammichan,123.12
FLX,S. Diggs,vs LAC,W 27-17,,7.40,2020,12,Blitzkoerper85,95.08,Hammichan,123.12
FLX,C. Godwin,vs KC,L 24-27,,13.70,2020,12,Blitzkoerper85,95.08,Hammichan,123.12
K,R. Blankenship,vs TEN,L 26-45,,2.00,2020,12,Blitzkoerper85,95.08,Hammichan,123.12
DEF,M. Dolphins,@ NYJ,L 20-3,,14.00,2020,12,Blitzkoerper85,95.08,Hammichan,123.12
BN,D. Harris,vs ARI,W 20-17,,4.70,2020,12,Blitzkoerper85,95.08,Hammichan,123.12
BN,M. Gaskin,@ NYJ,L 20-3,,0.00,2020,12,Blitzkoerper85,95.08,Hammichan,123.12
BN,Z. Moss,vs LAC,W 27-17,,7.80,2020,12,Blitzkoerper85,95.08,Hammichan,123.12
BN,K. Golladay,@ CIN,L 19-17,,0.00,2020,12,Blitzkoerper85,95.08,Hammichan,123.12
BN,J. Meyers,vs ARI,W 20-17,,7.70,2020,12,Blitzkoerper85,95.08,Hammichan,123.12
BN,M. Pittman,vs TEN,L 26-45,,3.80,2020,12,Blitzkoerper85,95.08,Hammichan,123.12
QB,R. Tannehill,@ IND,L 45-26,,19.14,2020,12,seb44,117.24,Speasy,106.64
RB,P. Lindsay,@ DET,L 41-25,,2.00,2020,12,seb44,117.24,Speasy,106.64
RB,D. Henry,@ IND,L 45-26,,37.50,2020,12,seb44,117.24,Speasy,106.64
WR,T. Fulgham,vs SEA,L 17-23,,2.60,2020,12,seb44,117.24,Speasy,106.64
WR,A. Brown,@ IND,L 45-26,,17.80,2020,12,seb44,117.24,Speasy,106.64
TE,J. Smith,vs ARI,W 20-17,,0.00,2020,12,seb44,117.24,Speasy,106.64
FLX,A. Green,@ NE,W 17-20,,0.00,2020,12,seb44,117.24,Speasy,106.64
FLX,A. Cooper,vs WAS,L 16-41,,20.20,2020,12,seb44,117.24,Speasy,106.64
K,M. Crosby,vs CHI,W 41-25,,4.00,2020,12,seb44,117.24,Speasy,106.64
DEF,N. Saints,@ DEN,L 31-3,,14.00,2020,12,seb44,117.24,Speasy,106.64
BN,D. Brees,,BYE,,0.00,2020,12,seb44,117.24,Speasy,106.64
BN,D. Johnson,@ DET,L 41-25,,0.00,2020,12,seb44,117.24,Speasy,106.64
BN,R. Mostert,@ LAR,L 23-20,,8.30,2020,12,seb44,117.24,Speasy,106.64
BN,H. Renfrow,@ ATL,W 6-43,,10.80,2020,12,seb44,117.24,Speasy,106.64
BN,J. Jones,@ IND,L 45-26,,0.00,2020,12,seb44,117.24,Speasy,106.64
BN,L. Thomas,@ DAL,L 41-16,,11.42,2020,12,seb44,117.24,Speasy,106.64
QB,A. Rodgers,vs CHI,W 41-25,,25.64,2020,12,StumpfistTrumpf,88.44,AllTimeReadyPat,101.22
RB,L. Fournette,vs KC,L 24-27,,3.50,2020,12,StumpfistTrumpf,88.44,AllTimeReadyPat,101.22
RB,D. Johnson,,BYE,,15.50,2020,12,StumpfistTrumpf,88.44,AllTimeReadyPat,101.22
WR,T. McLaurin,@ DAL,L 41-16,,12.70,2020,12,StumpfistTrumpf,88.44,AllTimeReadyPat,101.22
WR,D. Adams,vs CHI,W 41-25,,15.10,2020,12,StumpfistTrumpf,88.44,AllTimeReadyPat,101.22
TE,D. Waller,@ ATL,W 6-43,,4.30,2020,12,StumpfistTrumpf,88.44,AllTimeReadyPat,101.22
FLX,C. Beasley,vs LAC,W 27-17,,8.30,2020,12,StumpfistTrumpf,88.44,AllTimeReadyPat,101.22
FLX,C. Kirk,@ NE,W 17-20,,3.40,2020,12,StumpfistTrumpf,88.44,AllTimeReadyPat,101.22
K,J. Tucker,@ PIT,W 14-19,,2.00,2020,12,StumpfistTrumpf,88.44,AllTimeReadyPat,101.22
DEF,D. Cowboys,vs WAS,L 16-41,,-2.00,2020,12,StumpfistTrumpf,88.44,AllTimeReadyPat,101.22
BN,D. Carr,@ ATL,W 6-43,,-2.40,2020,12,StumpfistTrumpf,88.44,AllTimeReadyPat,101.22
BN,M. Gordon,vs NO,L 3-31,,3.10,2020,12,StumpfistTrumpf,88.44,AllTimeReadyPat,101.22
BN,J. Mixon,vs NYG,L 17-19,,0.00,2020,12,StumpfistTrumpf,88.44,AllTimeReadyPat,101.22
BN,J. Taylor,vs TEN,L 26-45,,0.00,2020,12,StumpfistTrumpf,88.44,AllTimeReadyPat,101.22
BN,A. Brown,vs KC,L 24-27,,2.10,2020,12,StumpfistTrumpf,88.44,AllTimeReadyPat,101.22
BN,K. Chiefs,@ TB,L 27-24,,5.00,2020,12,StumpfistTrumpf,88.44,AllTimeReadyPat,101.22
QB,J. Herbert,@ BUF,W 17-27,,14.44,2020,12,Speasy,106.64,seb44,117.24
RB,M. Davis,vs LV,W 43-6,,9.40,2020,12,Speasy,106.64,seb44,117.24
RB,B. Hill,@ IND,L 45-26,,5.50,2020,12,Speasy,106.64,seb44,117.24
WR,K. Allen,@ BUF,W 17-27,,14.00,2020,12,Speasy,106.64,seb44,117.24
WR,A. Robinson,@ GB,W 25-41,,23.40,2020,12,Speasy,106.64,seb44,117.24
TE,T. Kelce,@ TB,L 27-24,,12.20,2020,12,Speasy,106.64,seb44,117.24
FLX,D. Slayton,@ CIN,L 19-17,,0.00,2020,12,Speasy,106.64,seb44,117.24
FLX,J. Smith-Schuster,vs BAL,W 19-14,,12.70,2020,12,Speasy,106.64,seb44,117.24
K,M. Prater,@ NE,W 17-20,,4.00,2020,12,Speasy,106.64,seb44,117.24
DEF,N. Giants,@ CIN,L 19-17,,11.00,2020,12,Speasy,106.64,seb44,117.24
BN,M. Ryan,vs LV,W 43-6,,13.90,2020,12,Speasy,106.64,seb44,117.24
BN,C. McCaffrey,@ MIN,W 27-28,,0.00,2020,12,Speasy,106.64,seb44,117.24
BN,J. Conner,@ NE,W 17-20,,0.00,2020,12,Speasy,106.64,seb44,117.24
BN,J. Landry,@ JAX,L 27-25,,24.30,2020,12,Speasy,106.64,seb44,117.24
BN,J. Jeudy,vs NO,L 3-31,,0.00,2020,12,Speasy,106.64,seb44,117.24
BN,N. Fant,vs NO,L 3-31,,1.80,2020,12,Speasy,106.64,seb44,117.24
QB,T. Brady,vs KC,L 24-27,,21.70,2020,12,AllTimeReadyPat,101.22,StumpfistTrumpf,88.44
RB,W. Gallman,@ LAR,L 23-20,,16.60,2020,12,AllTimeReadyPat,101.22,StumpfistTrumpf,88.44
RB,A. Jones,vs CHI,W 41-25,,9.50,2020,12,AllTimeReadyPat,101.22,StumpfistTrumpf,88.44
WR,C. Ridley,vs LV,W 43-6,,14.00,2020,12,AllTimeReadyPat,101.22,StumpfistTrumpf,88.44
WR,D. Johnson,vs BAL,W 19-14,,7.60,2020,12,AllTimeReadyPat,101.22,StumpfistTrumpf,88.44
TE,R. Gronkowski,vs KC,L 24-27,,13.60,2020,12,AllTimeReadyPat,101.22,StumpfistTrumpf,88.44
FLX,B. Cooks,@ DET,L 41-25,,11.00,2020,12,AllTimeReadyPat,101.22,StumpfistTrumpf,88.44
FLX,K. Hinton,vs NO,L 3-31,,-2.78,2020,12,AllTimeReadyPat,101.22,StumpfistTrumpf,88.44
K,R. Succop,vs KC,L 24-27,,5.00,2020,12,AllTimeReadyPat,101.22,StumpfistTrumpf,88.44
DEF,M. Vikings,vs CAR,W 28-27,,5.00,2020,12,AllTimeReadyPat,101.22,StumpfistTrumpf,88.44
BN,T. Gurley,,BYE,,0.00,2020,12,AllTimeReadyPat,101.22,StumpfistTrumpf,88.44
BN,D. Booker,@ CIN,L 19-17,,1.00,2020,12,AllTimeReadyPat,101.22,StumpfistTrumpf,88.44
BN,S. Michel,vs ARI,W 20-17,,0.00,2020,12,AllTimeReadyPat,101.22,StumpfistTrumpf,88.44
BN,S. Shepard,@ CIN,L 19-17,,10.30,2020,12,AllTimeReadyPat,101.22,StumpfistTrumpf,88.44
BN,J. Reynolds,@ IND,L 45-26,,6.50,2020,12,AllTimeReadyPat,101.22,StumpfistTrumpf,88.44
BN,T. Higgins,vs NYG,L 17-19,,12.90,2020,12,AllTimeReadyPat,101.22,StumpfistTrumpf,88.44
QB,K. Murray,vs LAR,L 28-38,,14.42,2020,13,TheRealBauer,93.52,seb44,97.26
RB,K. Hunt,@ TEN,L 41-35,,7.20,2020,13,TheRealBauer,93.52,seb44,97.26
RB,A. Ekeler,vs NE,L 0-45,,8.80,2020,13,TheRealBauer,93.52,seb44,97.26
WR,R. Woods,@ ARI,L 38-28,,13.50,2020,13,TheRealBauer,93.52,seb44,97.26
WR,D. Parker,vs CIN,W 19-7,,5.50,2020,13,TheRealBauer,93.52,seb44,97.26
TE,E. Engram,@ SEA,L 17-12,,5.20,2020,13,TheRealBauer,93.52,seb44,97.26
FLX,C. Claypool,vs WAS,L 17-23,,4.80,2020,13,TheRealBauer,93.52,seb44,97.26
FLX,J. Dobbins,vs DAL,W 34-17,,13.10,2020,13,TheRealBauer,93.52,seb44,97.26
K,Y. Koo,vs NO,L 16-21,,11.00,2020,13,TheRealBauer,93.52,seb44,97.26
DEF,G. Packers,vs PHI,W 30-16,,10.00,2020,13,TheRealBauer,93.52,seb44,97.26
BN,C. Edmonds,vs LAR,L 28-38,,5.30,2020,13,TheRealBauer,93.52,seb44,97.26
BN,C. Edwards-Helaire,vs DEN,W 22-16,,0.00,2020,13,TheRealBauer,93.52,seb44,97.26
BN,A. Gibson,@ PIT,L 23-17,,1.40,2020,13,TheRealBauer,93.52,seb44,97.26
BN,J. Crowder,vs LV,L 28-31,,19.20,2020,13,TheRealBauer,93.52,seb44,97.26
BN,D. Chark,@ MIN,W 24-27,,5.10,2020,13,TheRealBauer,93.52,seb44,97.26
BN,C. Browns,@ TEN,L 41-35,,5.00,2020,13,TheRealBauer,93.52,seb44,97.26
QB,L. Jackson,vs DAL,W 34-17,,24.68,2020,13,Hubner,146.88,Blitzkoerper85,108.40
RB,A. Kamara,@ ATL,L 21-16,,16.70,2020,13,Hubner,146.88,Blitzkoerper85,108.40
RB,J. Robinson,@ MIN,W 24-27,,19.80,2020,13,Hubner,146.88,Blitzkoerper85,108.40
WR,J. Jefferson,vs JAX,W 27-24,,22.80,2020,13,Hubner,146.88,Blitzkoerper85,108.40
WR,C. Kupp,@ ARI,L 38-28,,11.30,2020,13,Hubner,146.88,Blitzkoerper85,108.40
TE,D. Goedert,@ GB,W 16-30,,9.10,2020,13,Hubner,146.88,Blitzkoerper85,108.40
FLX,K. Drake,@ NYJ,L 31-28,,12.80,2020,13,Hubner,146.88,Blitzkoerper85,108.40
FLX,T. Boyd,@ MIA,W 7-19,,13.70,2020,13,Hubner,146.88,Blitzkoerper85,108.40
K,M. Wright,@ CHI,L 34-30,,5.00,2020,13,Hubner,146.88,Blitzkoerper85,108.40
DEF,S. Seahawks,vs NYG,L 12-17,,11.00,2020,13,Hubner,146.88,Blitzkoerper85,108.40
BN,T. Hill,@ ATL,L 21-16,,20.58,2020,13,Hubner,146.88,Blitzkoerper85,108.40
BN,L. Murray,@ ATL,L 21-16,,2.70,2020,13,Hubner,146.88,Blitzkoerper85,108.40
BN,R. Jones,,BYE,,0.00,2020,13,Hubner,146.88,Blitzkoerper85,108.40
BN,D. Henderson,@ ARI,L 38-28,,14.40,2020,13,Hubner,146.88,Blitzkoerper85,108.40
BN,D. Moore,,BYE,,0.00,2020,13,Hubner,146.88,Blitzkoerper85,108.40
BN,C. Boswell,vs WAS,L 17-23,,0.00,2020,13,Hubner,146.88,Blitzkoerper85,108.40
QB,P. Mahomes,vs DEN,W 22-16,,19.32,2020,13,MarkusEXperte,147.82,AllTimeReadyPat,134.80
RB,D. Cook,vs JAX,W 27-24,,20.90,2020,13,MarkusEXperte,147.82,AllTimeReadyPat,134.80
RB,D. Montgomery,vs DET,L 30-34,,25.10,2020,13,MarkusEXperte,147.82,AllTimeReadyPat,134.80
WR,T. Hill,vs DEN,W 22-16,,11.80,2020,13,MarkusEXperte,147.82,AllTimeReadyPat,134.80
WR,D. Metcalf,vs NYG,L 12-17,,10.50,2020,13,MarkusEXperte,147.82,AllTimeReadyPat,134.80
TE,T. Hockenson,@ CHI,L 34-30,,11.90,2020,13,MarkusEXperte,147.82,AllTimeReadyPat,134.80
FLX,D. Samuel,vs BUF,L 24-34,,10.60,2020,13,MarkusEXperte,147.82,AllTimeReadyPat,134.80
FLX,N. Hines,@ HOU,L 26-20,,10.70,2020,13,MarkusEXperte,147.82,AllTimeReadyPat,134.80
K,H. Butker,vs DEN,W 22-16,,15.00,2020,13,MarkusEXperte,147.82,AllTimeReadyPat,134.80
DEF,L. Rams,@ ARI,L 38-28,,12.00,2020,13,MarkusEXperte,147.82,AllTimeReadyPat,134.80
BN,D. Swift,@ CHI,L 34-30,,0.00,2020,13,MarkusEXperte,147.82,AllTimeReadyPat,134.80
BN,C. Samuel,@ PIT,L 23-17,,0.00,2020,13,MarkusEXperte,147.82,AllTimeReadyPat,134.80
BN,T. Patrick,@ KC,W 16-22,,18.40,2020,13,MarkusEXperte,147.82,AllTimeReadyPat,134.80
BN,K. Coutee,vs IND,L 20-26,,18.10,2020,13,MarkusEXperte,147.82,AllTimeReadyPat,134.80
BN,R. Succop,,BYE,,0.00,2020,13,MarkusEXperte,147.82,AllTimeReadyPat,134.80
BN,D. Carlson,@ NYJ,L 31-28,,8.00,2020,13,MarkusEXperte,147.82,AllTimeReadyPat,134.80
QB,R. Wilson,vs NYG,L 12-17,,14.02,2020,13,MKx,115.22,Speasy,85.10
RB,C. Carson,vs NYG,L 12-17,,18.50,2020,13,MKx,115.22,Speasy,85.10
RB,E. Elliott,@ BAL,W 17-34,,11.50,2020,13,MKx,115.22,Speasy,85.10
WR,D. Hopkins,vs LAR,L 28-38,,15.20,2020,13,MKx,115.22,Speasy,85.10
WR,C. Davis,vs LV,L 28-31,,29.70,2020,13,MKx,115.22,Speasy,85.10
TE,D. Schultz,@ BAL,W 17-34,,6.40,2020,13,MKx,115.22,Speasy,85.10
FLX,M. Williams,vs NE,L 0-45,,6.30,2020,13,MKx,115.22,Speasy,85.10
FLX,C. Lamb,@ BAL,W 17-34,,7.60,2020,13,MKx,115.22,Speasy,85.10
K,W. Lutz,@ ATL,L 21-16,,3.00,2020,13,MKx,115.22,Speasy,85.10
DEF,H. Texans,vs IND,L 20-26,,3.00,2020,13,MKx,115.22,Speasy,85.10
BN,C. Newton,@ LAC,L 45-0,,22.56,2020,13,MKx,115.22,Speasy,85.10
BN,D. Dallas,vs NYG,L 12-17,,2.10,2020,13,MKx,115.22,Speasy,85.10
BN,M. Evans,,BYE,,0.00,2020,13,MKx,115.22,Speasy,85.10
BN,A. Lazard,vs PHI,W 30-16,,6.50,2020,13,MKx,115.22,Speasy,85.10
BN,J. Graham,vs DET,L 30-34,,0.00,2020,13,MKx,115.22,Speasy,85.10
BN,B. Bills,@ SF,L 34-24,,4.00,2020,13,MKx,115.22,Speasy,85.10
QB,D. Watson,vs IND,L 20-26,,17.44,2020,13,Hammichan,123.84,StumpfistTrumpf,170.20
RB,J. Williams,@ CHI,L 34-30,,4.60,2020,13,Hammichan,123.84,StumpfistTrumpf,170.20
RB,N. Chubb,@ TEN,L 41-35,,17.10,2020,13,Hammichan,123.84,StumpfistTrumpf,170.20
WR,T. Lockett,vs NYG,L 12-17,,8.30,2020,13,Hammichan,123.84,StumpfistTrumpf,170.20
WR,A. Thielen,vs JAX,W 27-24,,17.50,2020,13,Hammichan,123.84,StumpfistTrumpf,170.20
TE,R. Tonyan,vs PHI,W 30-16,,11.90,2020,13,Hammichan,123.84,StumpfistTrumpf,170.20
FLX,M. Thomas,@ ATL,L 21-16,,15.00,2020,13,Hammichan,123.84,StumpfistTrumpf,170.20
FLX,B. Aiyuk,vs BUF,L 24-34,,18.00,2020,13,Hammichan,123.84,StumpfistTrumpf,170.20
K,J. Sanders,vs CIN,W 19-7,,10.00,2020,13,Hammichan,123.84,StumpfistTrumpf,170.20
DEF,P. Steelers,vs WAS,L 17-23,,4.00,2020,13,Hammichan,123.84,StumpfistTrumpf,170.20
BN,G. Bernard,,BYE,,3.90,2020,13,Hammichan,123.84,StumpfistTrumpf,170.20
BN,L. Bell,,BYE,,6.50,2020,13,Hammichan,123.84,StumpfistTrumpf,170.20
BN,J. McKissic,@ PIT,L 23-17,,11.80,2020,13,Hammichan,123.84,StumpfistTrumpf,170.20
BN,C. Akers,@ ARI,L 38-28,,15.90,2020,13,Hammichan,123.84,StumpfistTrumpf,170.20
BN,N. Agholor,@ LAC,L 45-0,,5.80,2020,13,Hammichan,123.84,StumpfistTrumpf,170.20
BN,M. Gesicki,vs CIN,W 19-7,,19.30,2020,13,Hammichan,123.84,StumpfistTrumpf,170.20
QB,J. Allen,@ SF,L 34-24,,28.10,2020,13,Blitzkoerper85,108.40,Hubner,146.88
RB,M. Sanders,@ GB,W 16-30,,3.10,2020,13,Blitzkoerper85,108.40,Hubner,146.88
RB,M. Gaskin,vs CIN,W 19-7,,12.10,2020,13,Blitzkoerper85,108.40,Hubner,146.88
WR,M. Jones,@ MIN,W 24-27,,21.60,2020,13,Blitzkoerper85,108.40,Hubner,146.88
WR,M. Pittman,@ HOU,L 26-20,,7.10,2020,13,Blitzkoerper85,108.40,Hubner,146.88
TE,H. Henry,@ LAC,L 45-0,,1.00,2020,13,Blitzkoerper85,108.40,Hubner,146.88
FLX,S. Diggs,@ SF,L 34-24,,14.20,2020,13,Blitzkoerper85,108.40,Hubner,146.88
FLX,F. Gore,,BYE,,0.20,2020,13,Blitzkoerper85,108.40,Hubner,146.88
K,R. Blankenship,@ HOU,L 26-20,,7.00,2020,13,Blitzkoerper85,108.40,Hubner,146.88
DEF,M. Dolphins,vs CIN,W 19-7,,14.00,2020,13,Blitzkoerper85,108.40,Hubner,146.88
BN,A. Peterson,,BYE,,17.70,2020,13,Blitzkoerper85,108.40,Hubner,146.88
BN,J. Jacobs,@ NYJ,L 31-28,,0.00,2020,13,Blitzkoerper85,108.40,Hubner,146.88
BN,D. Harris,@ LAC,L 45-0,,9.00,2020,13,Blitzkoerper85,108.40,Hubner,146.88
BN,R. Anderson,,BYE,,0.00,2020,13,Blitzkoerper85,108.40,Hubner,146.88
BN,C. Godwin,,BYE,,0.00,2020,13,Blitzkoerper85,108.40,Hubner,146.88
BN,K. Golladay,@ SEA,L 17-12,,0.00,2020,13,Blitzkoerper85,108.40,Hubner,146.88
QB,R. Tannehill,vs CLE,L 35-41,,27.56,2020,13,seb44,97.26,TheRealBauer,93.52
RB,R. Mostert,vs BUF,L 24-34,,4.80,2020,13,seb44,97.26,TheRealBauer,93.52
RB,D. Henry,vs CLE,L 35-41,,4.40,2020,13,seb44,97.26,TheRealBauer,93.52
WR,T. Fulgham,@ GB,W 16-30,,0.00,2020,13,seb44,97.26,TheRealBauer,93.52
WR,A. Brown,vs CLE,L 35-41,,6.70,2020,13,seb44,97.26,TheRealBauer,93.52
TE,L. Thomas,@ PIT,L 23-17,,20.30,2020,13,seb44,97.26,TheRealBauer,93.52
FLX,H. Renfrow,@ NYJ,L 31-28,,6.70,2020,13,seb44,97.26,TheRealBauer,93.52
FLX,A. Cooper,@ BAL,W 17-34,,13.80,2020,13,seb44,97.26,TheRealBauer,93.52
K,M. Crosby,vs PHI,W 30-16,,6.00,2020,13,seb44,97.26,TheRealBauer,93.52
DEF,N. Saints,@ ATL,L 21-16,,7.00,2020,13,seb44,97.26,TheRealBauer,93.52
BN,D. Brees,,BYE,,0.00,2020,13,seb44,97.26,TheRealBauer,93.52
BN,D. Johnson,vs IND,L 20-26,,10.40,2020,13,seb44,97.26,TheRealBauer,93.52
BN,P. Lindsay,vs IND,L 20-26,,2.60,2020,13,seb44,97.26,TheRealBauer,93.52
BN,A. Green,vs LAR,L 28-38,,0.00,2020,13,seb44,97.26,TheRealBauer,93.52
BN,J. Jones,vs CLE,L 35-41,,12.40,2020,13,seb44,97.26,TheRealBauer,93.52
BN,J. Smith,@ LAC,L 45-0,,0.00,2020,13,seb44,97.26,TheRealBauer,93.52
QB,A. Rodgers,vs PHI,W 30-16,,22.50,2020,13,StumpfistTrumpf,170.20,Hammichan,123.84
RB,J. Taylor,@ HOU,L 26-20,,21.00,2020,13,StumpfistTrumpf,170.20,Hammichan,123.84
RB,M. Gordon,@ KC,W 16-22,,14.70,2020,13,StumpfistTrumpf,170.20,Hammichan,123.84
WR,T. McLaurin,@ PIT,L 23-17,,2.40,2020,13,StumpfistTrumpf,170.20,Hammichan,123.84
WR,D. Adams,vs PHI,W 30-16,,29.10,2020,13,StumpfistTrumpf,170.20,Hammichan,123.84
TE,D. Waller,@ NYJ,L 31-28,,38.50,2020,13,StumpfistTrumpf,170.20,Hammichan,123.84
FLX,C. Beasley,@ SF,L 34-24,,23.50,2020,13,StumpfistTrumpf,170.20,Hammichan,123.84
FLX,S. Watkins,vs DAL,W 34-17,,5.50,2020,13,StumpfistTrumpf,170.20,Hammichan,123.84
K,J. Tucker,vs DAL,W 34-17,,8.00,2020,13,StumpfistTrumpf,170.20,Hammichan,123.84
DEF,K. Chiefs,vs DEN,W 22-16,,5.00,2020,13,StumpfistTrumpf,170.20,Hammichan,123.84
BN,L. Fournette,,BYE,,0.00,2020,13,StumpfistTrumpf,170.20,Hammichan,123.84
BN,J. Mixon,@ MIA,W 7-19,,0.00,2020,13,StumpfistTrumpf,170.20,Hammichan,123.84
BN,C. Kirk,vs LAR,L 28-38,,0.70,2020,13,StumpfistTrumpf,170.20,Hammichan,123.84
BN,A. Brown,,BYE,,0.00,2020,13,StumpfistTrumpf,170.20,Hammichan,123.84
BN,D. Slayton,@ SEA,L 17-12,,1.90,2020,13,StumpfistTrumpf,170.20,Hammichan,123.84
BN,J. Myers,vs NYG,L 12-17,,4.00,2020,13,StumpfistTrumpf,170.20,Hammichan,123.84
QB,J. Herbert,vs NE,L 0-45,,4.36,2020,13,Speasy,85.10,MKx,115.22
RB,B. Snell,vs WAS,L 17-23,,2.00,2020,13,Speasy,85.10,MKx,115.22
RB,J. White,@ LAC,L 45-0,,1.60,2020,13,Speasy,85.10,MKx,115.22
WR,K. Allen,vs NE,L 0-45,,7.30,2020,13,Speasy,85.10,MKx,115.22
WR,A. Robinson,vs DET,L 30-34,,10.50,2020,13,Speasy,85.10,MKx,115.22
TE,T. Kelce,vs DEN,W 22-16,,23.60,2020,13,Speasy,85.10,MKx,115.22
FLX,J. Landry,@ TEN,L 41-35,,16.44,2020,13,Speasy,85.10,MKx,115.22
FLX,J. Smith-Schuster,vs WAS,L 17-23,,6.30,2020,13,Speasy,85.10,MKx,115.22
K,M. Prater,vs LAR,L 28-38,,3.00,2020,13,Speasy,85.10,MKx,115.22
DEF,L. Raiders,@ NYJ,L 31-28,,10.00,2020,13,Speasy,85.10,MKx,115.22
BN,C. Hyde,@ MIN,W 24-27,,1.60,2020,13,Speasy,85.10,MKx,115.22
BN,M. Davis,vs NO,L 16-21,,0.00,2020,13,Speasy,85.10,MKx,115.22
BN,C. McCaffrey,,BYE,,0.00,2020,13,Speasy,85.10,MKx,115.22
BN,J. Conner,vs LAR,L 28-38,,0.00,2020,13,Speasy,85.10,MKx,115.22
BN,J. Jeudy,@ KC,W 16-22,,1.00,2020,13,Speasy,85.10,MKx,115.22
BN,N. Fant,@ KC,W 16-22,,7.70,2020,13,Speasy,85.10,MKx,115.22
QB,K. Cousins,vs JAX,W 27-24,,20.40,2020,13,AllTimeReadyPat,134.80,MarkusEXperte,147.82
RB,W. Gallman,vs BUF,L 24-34,,13.50,2020,13,AllTimeReadyPat,134.80,MarkusEXperte,147.82
RB,A. Jones,vs PHI,W 30-16,,22.30,2020,13,AllTimeReadyPat,134.80,MarkusEXperte,147.82
WR,C. Ridley,vs NO,L 16-21,,13.30,2020,13,AllTimeReadyPat,134.80,MarkusEXperte,147.82
WR,D. Johnson,vs WAS,L 17-23,,17.10,2020,13,AllTimeReadyPat,134.80,MarkusEXperte,147.82
TE,A. Firkser,vs CLE,L 35-41,,7.60,2020,13,AllTimeReadyPat,134.80,MarkusEXperte,147.82
FLX,B. Cooks,vs IND,L 20-26,,9.00,2020,13,AllTimeReadyPat,134.80,MarkusEXperte,147.82
FLX,D. Booker,@ SEA,L 17-12,,5.60,2020,13,AllTimeReadyPat,134.80,MarkusEXperte,147.82
K,T. Bass,@ SF,L 34-24,,9.00,2020,13,AllTimeReadyPat,134.80,MarkusEXperte,147.82
DEF,M. Vikings,vs JAX,W 27-24,,17.00,2020,13,AllTimeReadyPat,134.80,MarkusEXperte,147.82
BN,T. Brady,,BYE,,0.00,2020,13,AllTimeReadyPat,134.80,MarkusEXperte,147.82
BN,T. Gurley,,BYE,,2.50,2020,13,AllTimeReadyPat,134.80,MarkusEXperte,147.82
BN,S. Shepard,@ SEA,L 17-12,,4.70,2020,13,AllTimeReadyPat,134.80,MarkusEXperte,147.82
BN,J. Reynolds,vs CLE,L 35-41,,2.60,2020,13,AllTimeReadyPat,134.80,MarkusEXperte,147.82
BN,T. Higgins,@ MIA,W 7-19,,8.10,2020,13,AllTimeReadyPat,134.80,MarkusEXperte,147.82
BN,R. Gronkowski,,BYE,,0.00,2020,13,AllTimeReadyPat,134.80,MarkusEXperte,147.82
QB,L. Jackson,@ CLE,L 47-42,,34.92,2020,14,Hubner,132.52,Speasy,135.60
RB,A. Kamara,@ PHI,W 21-24,,18.90,2020,14,Hubner,132.52,Speasy,135.60
RB,J. Robinson,vs TEN,L 10-31,,10.30,2020,14,Hubner,132.52,Speasy,135.60
WR,J. Jefferson,@ TB,W 14-26,,7.90,2020,14,Hubner,132.52,Speasy,135.60
WR,C. Kupp,vs NE,W 24-3,,11.80,2020,14,Hubner,132.52,Speasy,135.60
TE,D. Goedert,vs NO,W 24-21,,6.30,2020,14,Hubner,132.52,Speasy,135.60
FLX,K. Drake,vs IND,L 27-44,,13.50,2020,14,Hubner,132.52,Speasy,135.60
FLX,R. Jones,vs MIN,W 26-14,,14.90,2020,14,Hubner,132.52,Speasy,135.60
K,G. Gano,vs ARI,L 7-26,,1.00,2020,14,Hubner,132.52,Speasy,135.60
DEF,S. Seahawks,vs NYJ,W 40-3,,13.00,2020,14,Hubner,132.52,Speasy,135.60
BN,T. Hill,@ PHI,W 21-24,,17.94,2020,14,Hubner,132.52,Speasy,135.60
BN,L. Murray,@ PHI,W 21-24,,1.20,2020,14,Hubner,132.52,Speasy,135.60
BN,D. Henderson,vs NE,W 24-3,,0.50,2020,14,Hubner,132.52,Speasy,135.60
BN,T. Boyd,vs DAL,L 7-30,,6.80,2020,14,Hubner,132.52,Speasy,135.60
BN,D. Moore,vs DEN,L 27-32,,0.00,2020,14,Hubner,132.52,Speasy,135.60
BN,W. Football Team,@ SF,L 23-15,,25.00,2020,14,Hubner,132.52,Speasy,135.60
QB,P. Mahomes,@ MIA,L 33-27,,17.62,2020,14,MarkusEXperte,158.52,AllTimeReadyPat,85.54
RB,D. Cook,@ TB,W 14-26,,18.00,2020,14,MarkusEXperte,158.52,AllTimeReadyPat,85.54
